Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2000-01-11,HCLTECH,EQ,580,1550,1725,1492,1560,1554.45,1582.72,1192200,1.88691E+14,,,
2000-01-12,HCLTECH,EQ,1554.45,1560,1678.85,1560,1678.85,1678.85,1657.05,344850,5.71435E+13,,,
2000-01-13,HCLTECH,EQ,1678.85,1790,1813.2,1781,1813.2,1813.2,1804.69,53000,9.56488E+12,,,
2000-01-14,HCLTECH,EQ,1813.2,1958.3,1958.3,1835,1958.3,1958.3,1939.9,270950,5.25617E+13,,,
2000-01-17,HCLTECH,EQ,1958.3,2115,2115,1801.65,1801.65,1801.65,1990.55,428800,8.53547E+13,,,
2000-01-18,HCLTECH,EQ,1801.65,1730.55,1815,1657.55,1775,1774.5,1716.39,359900,6.17728E+13,,,
2000-01-19,HCLTECH,EQ,1774.5,1815,1889,1760,1842.8,1851.15,1842.81,316050,5.8242E+13,,,
2000-01-20,HCLTECH,EQ,1851.15,1865,1865,1750,1753.5,1757.85,1801.37,204700,3.68741E+13,,,
2000-01-21,HCLTECH,EQ,1757.85,1761,1815,1705,1786,1781.35,1774.01,282150,5.00536E+13,,,
2000-01-24,HCLTECH,EQ,1781.35,1834.9,1923.9,1795,1923.9,1923.9,1875.34,328650,6.16332E+13,,,
2000-01-25,HCLTECH,EQ,1923.9,1990,2077.85,1990,2077.85,2077.85,2065.71,313500,6.47601E+13,,,
2000-01-27,HCLTECH,EQ,2077.85,2239.9,2239.9,1965,2078,2080.6,2101.92,352400,7.40715E+13,,,
2000-01-28,HCLTECH,EQ,2080.6,2100,2245,2020.2,2190,2196.95,2173,360800,7.8402E+13,,,
2000-01-31,HCLTECH,EQ,2196.95,2111,2200,2021.2,2021.2,2030.4,2083.45,217650,4.53462E+13,,,
2000-02-01,HCLTECH,EQ,2030.4,1981.2,2180,1981.2,2160,2162.25,2110.66,261000,5.50883E+13,,,
2000-02-02,HCLTECH,EQ,2162.25,2260,2260,2010,2035,2024.25,2085.91,326550,6.81154E+13,,,
2000-02-03,HCLTECH,EQ,2024.25,2075,2075,1915.2,1965,1956.5,1989.66,175800,3.49782E+13,,,
2000-02-04,HCLTECH,EQ,1956.5,1993,2064,1965,1977,1986.6,2008.25,176500,3.54456E+13,,,
2000-02-07,HCLTECH,EQ,1986.6,1985,2119.95,1960.05,2036,2062.95,2048.51,277850,5.69179E+13,,,
2000-02-08,HCLTECH,EQ,2062.95,2049.4,2060,1970,2014,1999.2,2017.09,199100,4.01603E+13,,,
2000-02-09,HCLTECH,EQ,1999.2,2100,2100,1975,1991,1999,2011.5,180500,3.63076E+13,,,
2000-02-10,HCLTECH,EQ,1999,1976.65,2014.8,1965,1990,1996.75,1992.36,76850,1.53113E+13,,,
2000-02-11,HCLTECH,EQ,1996.75,1998,2156.5,1992,2156.5,2156.5,2110.61,166150,3.50678E+13,,,
2000-02-14,HCLTECH,EQ,2156.5,2199,2329.05,2199,2329.05,2324.7,2293.27,265150,6.08062E+13,,,
2000-02-15,HCLTECH,EQ,2324.7,2350,2510.7,2210,2500,2508.4,2425.21,224500,5.44459E+13,,,
2000-02-16,HCLTECH,EQ,2508.4,2560,2560,2307.75,2418,2423.1,2411.48,260850,6.29034E+13,,,
2000-02-17,HCLTECH,EQ,2423.1,2445,2616.95,2380,2616.95,2614.7,2526.71,276550,6.98761E+13,,,
2000-02-18,HCLTECH,EQ,2614.7,2800,2823.9,2760.5,2771,2775.95,2807.4,173400,4.86803E+13,,,
2000-02-21,HCLTECH,EQ,2775.95,2823,2998,2725,2805,2819.15,2883.95,151800,4.37783E+13,,,
2000-02-22,HCLTECH,EQ,2819.15,2800,2875,2652,2710,2700.3,2772.79,88250,2.44698E+13,,,
2000-02-23,HCLTECH,EQ,2700.3,2825,2870,2484.3,2499,2548.8,2696.63,71250,1.92135E+13,,,
2000-02-24,HCLTECH,EQ,2548.8,2570,2650,2445,2455,2464.1,2539.89,67350,1.71061E+13,,,
2000-02-25,HCLTECH,EQ,2464.1,2498,2540,2280,2325,2317.3,2395.84,72050,1.7262E+13,,,
2000-02-28,HCLTECH,EQ,2317.3,2200,2300,2132,2261,2262.75,2201.3,67550,1.48698E+13,,,
2000-02-29,HCLTECH,EQ,2262.75,2325,2350,2081.75,2081.75,2081.75,2206.52,85100,1.87775E+13,,,
2000-03-01,HCLTECH,EQ,2081.75,2000,2248.3,1915.25,2248.3,2248.3,2099.09,217400,4.56342E+13,,,
