grade,sub_grade,loan_status,loan_purpose
C,C3,Current,moving
C,C1,Current,debt_consolidation
D,D1,Current,other
A,A3,Current,debt_consolidation
C,C3,Current,credit_card
A,A3,Current,other
C,C2,Current,credit_card
B,B5,Current,debt_consolidation
C,C2,Current,home_improvement
A,A3,Current,credit_card
C,C4,Current,debt_consolidation
B,B2,Current,other
C,C2,Current,debt_consolidation
B,B1,Current,credit_card
D,D3,Current,debt_consolidation
D,D3,Current,credit_card
D,D3,Current,credit_card
F,F1,Current,debt_consolidation
E,E5,Fully Paid,medical
C,C4,Fully Paid,debt_consolidation
A,A2,Current,credit_card
B,B5,Current,credit_card
C,C2,Current,debt_consolidation
A,A3,Current,home_improvement
A,A5,Current,credit_card
C,C1,Current,debt_consolidation
B,B5,Current,credit_card
A,A4,Current,debt_consolidation
A,A1,Current,debt_consolidation
A,A2,Current,house
C,C1,Current,debt_consolidation
B,B1,Current,debt_consolidation
D,D3,Current,credit_card
D,D4,Current,debt_consolidation
B,B2,Fully Paid,debt_consolidation
A,A2,Fully Paid,small_business
D,D5,Current,debt_consolidation
C,C4,In Grace Period,car
B,B3,Current,other
C,C1,Current,other
D,D2,Current,other
B,B5,Current,moving
C,C4,Current,debt_consolidation
C,C4,Current,credit_card
C,C1,Current,home_improvement
A,A3,Current,debt_consolidation
A,A3,Current,debt_consolidation
C,C4,Current,debt_consolidation
B,B2,Current,car
B,B3,Current,credit_card
E,E1,Current,debt_consolidation
G,G1,Current,debt_consolidation
C,C4,Current,major_purchase
A,A2,Current,debt_consolidation
A,A2,Current,debt_consolidation
D,D1,Current,debt_consolidation
A,A4,Current,house
C,C2,Current,debt_consolidation
A,A3,Current,debt_consolidation
A,A1,Current,debt_consolidation
B,B2,Current,debt_consolidation
B,B2,Current,debt_consolidation
B,B2,Current,debt_consolidation
C,C3,Current,credit_card
A,A5,Current,medical
A,A1,Current,debt_consolidation
B,B2,Current,debt_consolidation
C,C3,Current,credit_card
C,C1,Current,car
C,C1,Current,debt_consolidation
D,D1,Current,other
C,C1,Current,other
A,A3,Current,debt_consolidation
D,D3,Current,major_purchase
C,C1,Current,credit_card
C,C3,Current,debt_consolidation
B,B4,Current,debt_consolidation
D,D1,Current,other
D,D2,Current,credit_card
C,C5,Current,other
D,D3,Current,debt_consolidation
C,C1,Current,debt_consolidation
A,A2,Current,other
B,B1,Current,home_improvement
B,B3,Current,debt_consolidation
A,A5,Current,debt_consolidation
C,C2,Current,small_business
C,C4,Current,credit_card
C,C1,Current,home_improvement
A,A5,Current,credit_card
C,C2,Current,debt_consolidation
C,C5,Current,debt_consolidation
E,E1,Current,debt_consolidation
A,A5,Current,debt_consolidation
D,D2,Current,debt_consolidation
A,A2,Current,debt_consolidation
A,A1,Current,debt_consolidation
A,A1,Current,debt_consolidation
B,B2,Current,major_purchase
D,D4,Current,credit_card
C,C4,Current,debt_consolidation
A,A5,Current,debt_consolidation
E,E5,Current,debt_consolidation
B,B1,Current,home_improvement
C,C2,Current,debt_consolidation
C,C4,Current,debt_consolidation
A,A1,Current,credit_card
C,C3,Fully Paid,home_improvement
C,C2,Current,small_business
A,A5,Current,debt_consolidation
B,B2,Current,debt_consolidation
A,A2,Current,debt_consolidation
D,D5,Current,debt_consolidation
B,B3,Current,moving
D,D1,Current,debt_consolidation
B,B4,Current,debt_consolidation
A,A2,Current,credit_card
C,C1,Current,credit_card
E,E2,Current,debt_consolidation
D,D2,Current,credit_card
C,C2,Current,debt_consolidation
C,C5,In Grace Period,debt_consolidation
B,B2,Current,major_purchase
B,B2,Current,car
A,A4,Current,credit_card
B,B4,Current,debt_consolidation
C,C2,Current,house
C,C3,Current,debt_consolidation
A,A4,Current,credit_card
C,C4,Current,home_improvement
A,A3,Current,debt_consolidation
C,C5,Current,debt_consolidation
A,A4,Current,debt_consolidation
E,E2,Current,debt_consolidation
C,C4,Current,other
A,A3,Current,debt_consolidation
D,D5,Current,debt_consolidation
E,E4,Fully Paid,debt_consolidation
C,C3,Current,credit_card
C,C4,Fully Paid,credit_card
B,B1,Current,debt_consolidation
D,D1,Current,debt_consolidation
C,C5,Current,credit_card
B,B4,Current,home_improvement
C,C1,Current,credit_card
D,D5,Current,other
B,B3,Current,major_purchase
A,A1,Current,credit_card
D,D5,Current,debt_consolidation
D,D2,Current,home_improvement
A,A1,Current,medical
D,D1,Current,house
B,B2,Current,debt_consolidation
A,A2,Current,credit_card
D,D1,Current,debt_consolidation
C,C5,Current,other
C,C2,Current,credit_card
B,B2,Current,other
C,C4,Current,small_business
A,A3,Current,credit_card
D,D1,Current,debt_consolidation
B,B5,Current,debt_consolidation
C,C2,Current,credit_card
A,A4,Current,debt_consolidation
B,B3,Current,major_purchase
A,A5,Current,debt_consolidation
B,B2,Current,debt_consolidation
C,C1,Current,debt_consolidation
B,B2,Current,debt_consolidation
C,C3,Current,debt_consolidation
C,C3,Current,credit_card
C,C1,Current,other
C,C5,Current,debt_consolidation
C,C3,Current,debt_consolidation
D,D2,Current,debt_consolidation
C,C3,Current,credit_card
C,C5,Current,credit_card
B,B5,Current,debt_consolidation
A,A3,Fully Paid,credit_card
D,D3,Fully Paid,debt_consolidation
A,A3,Current,debt_consolidation
A,A2,Current,credit_card
A,A4,Current,other
C,C2,Current,debt_consolidation
C,C2,Current,debt_consolidation
A,A1,Current,other
A,A5,Fully Paid,debt_consolidation
A,A4,Current,debt_consolidation
B,B5,Current,house
C,C5,Current,other
B,B2,Current,debt_consolidation
D,D3,Fully Paid,debt_consolidation
